Year,Round,EventName,Circuit,Driver,Team,Compound,BestLapTime,AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
2026,4,Miami Grand Prix,Miami Gardens,RUS,Mercedes,SOFT,88.197,33.9,51.0,29.0,4.5,False
2026,4,Miami Grand Prix,Miami Gardens,SAI,Williams,SOFT,89.54,33.8,51.7,31.3,3.6,False
2026,4,Miami Grand Prix,Miami Gardens,STR,Aston Martin,SOFT,91.164,33.8,53.1,32.1,3.3,False
2026,4,Miami Grand Prix,Miami Gardens,VER,Red Bull Racing,SOFT,87.964,34.0,50.2,29.1,3.8,False
2026,5,Canadian Grand Prix,Montréal,ALB,Williams,SOFT,74.851,21.2,30.7,23.7,1.5,False
2026,5,Canadian Grand Prix,Montréal,ALO,Aston Martin,SOFT,75.196,21.4,31.0,23.8,0.9,False
2026,5,Canadian Grand Prix,Montréal,ANT,Mercedes,SOFT,72.646,21.9,31.0,24.6,1.3,False
2026,5,Canadian Grand Prix,Montréal,BEA,Haas F1 Team,SOFT,74.416,21.3,30.8,24.4,1.5,False
2026,5,Canadian Grand Prix,Montréal,BOR,Audi,SOFT,74.071,21.3,30.8,24.4,1.5,False
2026,5,Canadian Grand Prix,Montréal,BOT,Cadillac,SOFT,76.272,21.3,31.2,24.4,0.4,False
2026,5,Canadian Grand Prix,Montréal,COL,Alpine,SOFT,73.697,21.4,31.2,24.8,0.0,False
2026,5,Canadian Grand Prix,Montréal,GAS,Alpine,SOFT,74.187,21.3,30.8,24.4,1.5,False
2026,5,Canadian Grand Prix,Montréal,HAD,Red Bull Racing,SOFT,72.935,21.5,30.7,24.4,0.5,False
2026,5,Canadian Grand Prix,Montréal,HAM,Ferrari,SOFT,72.868,21.3,30.9,25.1,1.3,False
2026,5,Canadian Grand Prix,Montréal,HUL,Audi,SOFT,73.886,21.3,30.9,24.7,1.0,False
2026,5,Canadian Grand Prix,Montréal,LAW,Racing Bulls,SOFT,73.897,21.3,30.9,24.7,1.0,False
2026,5,Canadian Grand Prix,Montréal,LEC,Ferrari,SOFT,72.976,21.9,31.0,24.6,1.3,False
2026,5,Canadian Grand Prix,Montréal,LIN,Racing Bulls,SOFT,73.28,21.9,31.0,24.6,1.3,False
2026,5,Canadian Grand Prix,Montréal,NOR,McLaren,SOFT,72.729,21.3,30.9,25.1,1.3,False
2026,5,Canadian Grand Prix,Montréal,OCO,Haas F1 Team,SOFT,74.845,21.4,31.0,23.8,0.9,False
2026,5,Canadian Grand Prix,Montréal,PER,Cadillac,SOFT,75.429,21.3,30.7,23.5,0.5,False
2026,5,Canadian Grand Prix,Montréal,PIA,McLaren,SOFT,72.781,21.5,30.7,24.4,0.5,False
2026,5,Canadian Grand Prix,Montréal,RUS,Mercedes,SOFT,72.578,21.5,30.7,24.4,0.5,False
2026,5,Canadian Grand Prix,Montréal,SAI,Williams,SOFT,74.273,21.3,30.8,24.4,1.5,False
2026,5,Canadian Grand Prix,Montréal,STR,Aston Martin,SOFT,76.195,21.3,30.6,24.1,2.2,False
2026,5,Canadian Grand Prix,Montréal,VER,Red Bull Racing,SOFT,72.907,21.5,30.7,24.4,0.5,False
2026,6,Monaco Grand Prix,Monte Carlo,ALB,Williams,SOFT,73.787,23.3,34.0,57.0,0.9,False
2026,6,Monaco Grand Prix,Monte Carlo,ALO,Aston Martin,SOFT,75.349,23.9,40.4,54.4,0.8,False
2026,6,Monaco Grand Prix,Monte Carlo,ANT,Mercedes,SOFT,72.051,23.3,32.5,59.3,0.9,False
2026,6,Monaco Grand Prix,Monte Carlo,BEA,Haas F1 Team,SOFT,74.814,23.7,36.8,51.2,0.9,False
2026,6,Monaco Grand Prix,Monte Carlo,BOR,Audi,SOFT,74.683,24.5,45.6,53.3,1.1,False
2026,6,Monaco Grand Prix,Monte Carlo,BOT,Cadillac,SOFT,75.283,23.7,36.8,51.2,0.9,False
2026,6,Monaco Grand Prix,Monte Carlo,COL,Alpine,SOFT,73.995,23.3,34.0,55.8,1.8,False
2026,6,Monaco Grand Prix,Monte Carlo,GAS,Alpine,SOFT,73.226,23.2,33.1,59.6,0.0,False
2026,6,Monaco Grand Prix,Monte Carlo,HAD,Red Bull Racing,SOFT,72.434,23.2,33.1,59.6,0.0,False
2026,6,Monaco Grand Prix,Monte Carlo,HAM,Ferrari,SOFT,72.279,23.2,33.1,59.6,0.0,False
2026,6,Monaco Grand Prix,Monte Carlo,HUL,Audi,SOFT,73.902,23.6,34.4,54.8,1.5,False
2026,6,Monaco Grand Prix,Monte Carlo,LAW,Racing Bulls,SOFT,73.412,23.2,33.1,59.6,0.0,False
2026,6,Monaco Grand Prix,Monte Carlo,LEC,Ferrari,SOFT,72.351,23.2,33.1,59.6,0.0,False
2026,6,Monaco Grand Prix,Monte Carlo,LIN,Racing Bulls,SOFT,74.248,23.4,34.8,55.5,2.8,False
2026,6,Monaco Grand Prix,Monte Carlo,NOR,McLaren,SOFT,72.765,23.1,33.0,60.0,0.6,False
2026,6,Monaco Grand Prix,Monte Carlo,OCO,Haas F1 Team,SOFT,74.722,23.9,40.0,54.4,0.7,False
2026,6,Monaco Grand Prix,Monte Carlo,PER,Cadillac,SOFT,74.747,24.0,39.8,54.0,0.6,False
2026,6,Monaco Grand Prix,Monte Carlo,PIA,McLaren,SOFT,72.624,23.2,33.1,59.6,0.0,False
2026,6,Monaco Grand Prix,Monte Carlo,RUS,Mercedes,SOFT,72.445,23.2,33.1,59.6,0.0,False
2026,6,Monaco Grand Prix,Monte Carlo,SAI,Williams,SOFT,73.815,23.3,34.0,57.0,0.9,False
2026,6,Monaco Grand Prix,Monte Carlo,STR,Aston Martin,SOFT,76.061,24.4,44.4,53.4,2.2,False
2026,6,Monaco Grand Prix,Monte Carlo,VER,Red Bull Racing,SOFT,72.094,23.2,33.1,59.6,0.0,False
2026,7,Barcelona Grand Prix,Barcelona,ALB,Williams,SOFT,77.424,30.8,50.9,30.1,2.1,False
2026,7,Barcelona Grand Prix,Barcelona,ALO,Aston Martin,SOFT,78.815,30.8,50.7,29.5,2.9,False
